ID,PROJECT_ID,CODE,DESCRIPTION,SYSTEM_STATUS,BUSINESS_AREA
ed196fca-434a-4f2c-9d57-57a8fcc99f81,4d62dff1-31d3-45ef-9c6e-f3df7079de91,H-688C,,,
d04e865d-0012-4064-8452-0b5090f5b5b0,c89a45a4-ef2e-4986-a07a-905792cbe567,H-9221,,,
7cfda7fc-6128-4823-9db5-1b46686eb7a9,4d62dff1-31d3-45ef-9c6e-f3df7079de91,H-9844,,,
851cc9a0-af56-47fc-9de4-515143689f95,e0c901b8-3037-4bc1-885e-654f92aa4d1d,H-603I,,,
a6d751d6-24c9-4603-b013-54494a8484dd,c9ce1fed-043f-4f41-92df-856028a07580,H-603J,,,
0a09f266-21e0-4ec5-af64-d7c07ba1a238,d2645c47-02aa-4fb5-8d19-5aabf00358c7,H-603K,,,
7ec5c2c2-3f83-48f6-a902-37380e7e7e9f,a45b536a-057b-491e-9759-42430dd20112,H-603L,,,
920c7739-25a2-41a4-8289-1b10a99ccfb7,c8bba65d-3a18-4fd3-a698-393196d406f0,H-6061,,,
