ID,PARENT_ID,CHILD_ID
328e261c-794b-4b6b-9ca2-63d94aadab26,3cd16550-fc52-4c03-883c-e09472ba7bc2,bb6cae43-7436-463e-a67a-43598f1447ba
fe31b6c6-1383-4a8f-a6ca-d4309c6fa059,bb6cae43-7436-463e-a67a-43598f1447ba,5f1e6404-734d-428a-9db7-212335777dd4
26920a63-6b74-404a-b837-e2264d2298dd,5f1e6404-734d-428a-9db7-212335777dd4,b64dbfe6-15b6-423b-8eec-1c981da396be
5021f216-59f9-468d-815f-d5d49a98a9e8,b64dbfe6-15b6-423b-8eec-1c981da396be,763b7923-4300-4a6a-bfa7-81f4946d7a36
afe6c7aa-7f12-4abd-bda1-b9958e416617,5abe2e69-3deb-4240-b094-700dd96fa3d1,e82b0c78-454d-4b0b-9683-50253426e5ea
e198dcc8-335b-4611-9309-5985ab515fd1,e82b0c78-454d-4b0b-9683-50253426e5ea,ba2a9a17-31c5-45a3-9f7d-83bbee62b33e
c344a829-a46f-430d-817e-62390d766595,ba2a9a17-31c5-45a3-9f7d-83bbee62b33e,126905b6-c4a3-46ea-b966-88c9e0386fdf
7bd1c634-8f68-4026-b400-ea958bbb6ee0,126905b6-c4a3-46ea-b966-88c9e0386fdf,28f1a167-21b3-42d5-80ed-e1149d9f4c0f
be9177aa-1c82-4721-8cd7-5ef29ffc62b0,2b6c363c-35c7-4926-ad6d-3b11de5e54b8,c40039b7-0482-48da-bd4b-a36c98cbd604
3b63ffbb-708c-4b3e-b866-a7df7c96f269,c40039b7-0482-48da-bd4b-a36c98cbd604,1d77de37-a69f-41ae-989a-2c944b61e89c
c5dc0c2c-ba84-48a9-9d66-b7097ee851c4,1d77de37-a69f-41ae-989a-2c944b61e89c,24961e34-1f7e-4867-8626-bf42b9bae748
b343f9b5-641c-43ed-8614-54937ba468d3,24961e34-1f7e-4867-8626-bf42b9bae748,33ef30aa-549e-4c96-874a-5c407bc1f8d7
141082c4-22d9-451d-9d7b-a43bc88e1917,3981dcc7-fc7d-4fd1-a1eb-5c222383eaaa,5984f75a-0652-4db7-b6fd-bf77dc7a3839
4813f0ad-edc1-4b8e-b686-8d93959ee930,5984f75a-0652-4db7-b6fd-bf77dc7a3839,e07224fb-f42f-41b5-837d-a5092724038d
3fd3060f-f5c9-4dfa-81dc-9f5ac2500f97,e07224fb-f42f-41b5-837d-a5092724038d,64751090-5c0c-4020-87b7-c4ed45cfcd3e
09f3b939-c4a3-456d-95e3-46904daf34fc,64751090-5c0c-4020-87b7-c4ed45cfcd3e,6aa3da0e-5f5d-4c6a-8a1f-d3e94a604cf7
