ID,INSPECTION_POINT_ID,CHECKLIST_ID
7bfd09e9-512a-4546-86b2-6e00749db2de,3cd16550-fc52-4c03-883c-e09472ba7bc2,4dca65ba-283d-49be-9ef8-a9c2e257cfcb
cf603a45-e091-4366-92aa-3fc0712bfad0,3cd16550-fc52-4c03-883c-e09472ba7bc2,ec86099c-67eb-49cd-8879-99c68d41a0d7
4fc0b60f-5835-4932-8a63-288a787ee016,bb6cae43-7436-463e-a67a-43598f1447ba,2812cba4-bcce-4441-b150-88ccb3bacedc
544127f5-e6d7-41e4-82ab-e860e6d62e61,bb6cae43-7436-463e-a67a-43598f1447ba,cebad82b-816c-4f66-9fe1-fd1800af7d69
835b4872-7412-4043-b596-16d890e67a8b,5f1e6404-734d-428a-9db7-212335777dd4,2812cba4-bcce-4441-b150-88ccb3bacedc
254b451a-8305-4c6c-89c2-e721397d7413,5f1e6404-734d-428a-9db7-212335777dd4,cebad82b-816c-4f66-9fe1-fd1800af7d69
c86b7e06-4031-466a-ae90-47537b738a87,b64dbfe6-15b6-423b-8eec-1c981da396be,33261db7-0255-494b-a0ab-fdeda3c0333e
40cdbe82-1248-4b2f-aa38-ff8a15dfb64e,5abe2e69-3deb-4240-b094-700dd96fa3d1,4dca65ba-283d-49be-9ef8-a9c2e257cfcb
29528f23-969b-45bc-809e-e077aa3d8866,e82b0c78-454d-4b0b-9683-50253426e5ea,2812cba4-bcce-4441-b150-88ccb3bacedc
7b6f9b3a-cd04-43f3-ae0c-ef25d8005931,ba2a9a17-31c5-45a3-9f7d-83bbee62b33e,2812cba4-bcce-4441-b150-88ccb3bacedc
2dfb46fe-301b-4cc9-b0b5-ebc75ff3103f,126905b6-c4a3-46ea-b966-88c9e0386fdf,33261db7-0255-494b-a0ab-fdeda3c0333e
91cfff57-d06b-4a5f-9dfb-b2de9642a1de,2b6c363c-35c7-4926-ad6d-3b11de5e54b8,4dca65ba-283d-49be-9ef8-a9c2e257cfcb
907f56e0-a9e8-49ae-99bd-da2424679252,c40039b7-0482-48da-bd4b-a36c98cbd604,2812cba4-bcce-4441-b150-88ccb3bacedc
b95e85a9-fc7a-4c16-80bf-814f8a91dd77,1d77de37-a69f-41ae-989a-2c944b61e89c,2812cba4-bcce-4441-b150-88ccb3bacedc
61a047ac-5542-4c8a-8729-a7549da334a9,24961e34-1f7e-4867-8626-bf42b9bae748,33261db7-0255-494b-a0ab-fdeda3c0333e
c23f10b2-97b4-4428-9a0c-05694b9cbb2d,3981dcc7-fc7d-4fd1-a1eb-5c222383eaaa,4dca65ba-283d-49be-9ef8-a9c2e257cfcb
b5f7b962-8eef-46da-8e93-874ad8c2c7d4,5984f75a-0652-4db7-b6fd-bf77dc7a3839,2812cba4-bcce-4441-b150-88ccb3bacedc
e7d889c7-86b0-4708-8aa7-ffb8cf61b1b5,e07224fb-f42f-41b5-837d-a5092724038d,2812cba4-bcce-4441-b150-88ccb3bacedc
fe98fec5-5cee-4d33-9501-6a0da25a0ebf,64751090-5c0c-4020-87b7-c4ed45cfcd3e,33261db7-0255-494b-a0ab-fdeda3c0333e
1d27982e-d206-47fd-8c72-928a75eaf1fd,7737c966-22e1-4392-a7fc-78be9345c134,4dca65ba-283d-49be-9ef8-a9c2e257cfcb
4df800f7-8f53-4066-a48f-d4453e64f134,3f111d10-a8b4-4771-9c5b-864dcbc7bbca,2812cba4-bcce-4441-b150-88ccb3bacedc
620ad011-a6d0-42e3-bf1c-12395d95d9cc,883da288-a122-48d2-a1b8-26031a870c79,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
2ba49fed-143f-4003-a9c4-0e8f8cb85337,df14bb89-7df2-4ec1-b731-b03309b5daac,33261db7-0255-494b-a0ab-fdeda3c0333e
55dd83e7-1066-4237-815c-dfebb6eecb4d,48068045-f5f4-4ba5-b76c-81a2e4e9cc48,1b556934-3f2d-435f-8e8d-51482b16286e
51093174-4589-4cc1-a527-23644b262915,e4dd32c2-341e-4664-ba0c-93fe42d071d1,6922f50e-ffc4-41b0-884d-0f898de366be
d307c0af-62bc-42c7-b295-611bb18b085b,a518c613-a15e-42fa-9629-89435e738628,1184710d-29b7-4930-a4f9-60c4fd56d4bc
19ba76f1-3175-474b-ada8-f2999e8c3e63,829779b0-a4c8-4717-997d-cfa8cae3417b,07a0f8c5-0add-4ab8-9afa-e78ba536cfeb
a0794550-a732-425e-8e09-5c6da8453eda,0034d6ac-4b87-4338-b0b0-97dcb714fd32,aeb46d4f-48e8-48a1-a47a-a6473bb86616
a44621fe-d230-4335-932a-faea0e4faffc,791fb800-4b6a-433b-abaa-b62439d4e7a2,83982cb5-067e-422e-bedd-d0eb2bd543cb
8f5f3c4c-dc9c-491a-9bce-e91b40e8fd63,87746f63-245b-4cf8-be7d-7f0a1f411cac,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
c2ce4068-4303-48ec-82a6-d56ece52b2ee,dbe93ee7-b110-422b-85c4-b05990d98f3f,33261db7-0255-494b-a0ab-fdeda3c0333e
1c3b61f2-adfc-4a90-95ee-94512ab301ca,490cd90f-4611-4e50-a7fb-5464ab6ae337,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
ec4b3be2-f893-48a4-8cca-9d330423d9c9,0b4968d9-ac47-47b0-99b9-7e91028f7ac8,33261db7-0255-494b-a0ab-fdeda3c0333e
