ID,CODE,NAME,GST_NUMBER
ef2071ff-a6e5-49ff-8398-9103a2b2cf4a,237013,G P PROJECT,UNKNOWN
068f3a8b-54c7-425c-9294-efd0344fa6b1,260657,OZONE INFRA,UNKNOWN
91e322df-6ac6-46d1-8943-d37176b4f89a,256566,SHIKHAR TELECOM SERVICES,UNKNOWN
46a305b2-21ae-4931-8043-6bddf756b921,270319,M S CHOUHAN INFRAVENTURES PVT LTD,UNKNOWN
